,sex,age,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,is_recid,is_violent_recid,decile_score.1,score_text,v_decile_score,v_score_text,two_year_recid,is_male,is_female,Other,African-American,Caucasian,Hispanic,Native American,Asian
22,Male,27,Caucasian,0,2,0,0,0,1,0,2,Low,3,Low,1,1,0,0,0,1,0,0,0
23,Female,21,Caucasian,0,4,0,0,0,0,0,4,Low,5,Medium,0,0,1,0,0,1,0,0,0
24,Male,24,Hispanic,0,4,0,0,1,1,0,4,Low,5,Medium,1,1,0,0,0,0,1,0,0
25,Male,43,Caucasian,0,1,0,0,1,0,0,1,Low,2,Low,0,1,0,0,0,1,0,0,0
26,Male,32,Other,0,3,0,0,0,0,0,3,Low,4,Low,0,1,0,1,0,0,0,0,0
27,Male,27,African-American,0,3,0,0,8,1,1,3,Low,3,Low,1,1,0,0,1,0,0,0,0
28,Female,36,Caucasian,0,3,0,0,3,0,0,3,Low,1,Low,0,0,1,0,0,1,0,0,0
29,Male,26,African-American,0,7,0,1,5,1,0,7,Medium,7,Medium,1,1,0,0,1,0,0,0,0
30,Male,33,African-American,0,10,0,0,0,1,1,10,High,6,Medium,1,1,0,0,1,0,0,0,0
31,Male,30,Caucasian,0,9,0,0,9,1,0,9,High,10,High,1,1,0,0,0,1,0,0,0
32,Male,32,African-American,0,8,0,0,4,1,0,8,High,3,Low,1,1,0,0,1,0,0,0,0
33,Male,55,Caucasian,0,1,0,0,0,0,0,1,Low,1,Low,0,1,0,0,0,1,0,0,0
34,Male,49,Other,0,3,0,0,7,1,0,3,Low,2,Low,1,1,0,1,0,0,0,0,0
35,Male,26,Caucasian,0,8,0,2,6,0,0,8,High,8,High,0,1,0,0,0,1,0,0,0
36,Female,33,Caucasian,0,5,0,0,4,1,0,5,Medium,2,Low,1,0,1,0,0,1,0,0,0
37,Male,24,Caucasian,0,2,0,0,1,1,0,2,Low,3,Low,1,1,0,0,0,1,0,0,0
38,Male,34,African-American,2,9,1,3,21,1,0,9,High,6,Medium,1,1,0,0,1,0,0,0,0
39,Male,29,Caucasian,0,2,0,0,0,0,0,2,Low,2,Low,0,1,0,0,0,1,0,0,0
40,Female,21,African-American,0,8,0,0,2,0,0,8,High,8,High,0,0,1,0,1,0,0,0,0
41,Male,51,African-American,0,1,0,0,2,0,0,1,Low,1,Low,0,1,0,0,1,0,0,0,0
42,Male,29,Caucasian,0,2,0,0,2,1,0,2,Low,2,Low,1,1,0,0,0,1,0,0,0
43,Female,51,African-American,0,2,0,0,7,0,0,2,Low,2,Low,0,0,1,0,1,0,0,0,0
44,Male,29,African-American,0,7,0,0,0,1,0,7,Medium,2,Low,1,1,0,0,1,0,0,0,0
45,Male,25,Caucasian,0,10,0,0,9,1,1,10,High,9,High,1,1,0,0,0,1,0,0,0
46,Male,35,African-American,1,8,0,4,13,1,1,8,High,3,Low,1,1,0,0,1,0,0,0,0
47,Male,49,Caucasian,0,1,0,0,0,0,0,1,Low,1,Low,0,1,0,0,0,1,0,0,0
48,Male,34,African-American,0,3,0,0,4,1,0,3,Low,2,Low,1,1,0,0,1,0,0,0,0
49,Male,29,African-American,0,4,0,0,0,0,0,4,Low,3,Low,0,1,0,0,1,0,0,0,0
50,Male,29,Caucasian,0,2,0,0,1,1,0,2,Low,2,Low,1,1,0,0,0,1,0,0,0
51,Female,28,Other,0,2,0,0,0,0,0,2,Low,2,Low,0,0,1,1,0,0,0,0,0
52,Male,48,Caucasian,0,6,0,0,20,1,0,6,Medium,4,Low,1,1,0,0,0,1,0,0,0
53,Female,63,Hispanic,0,1,0,0,1,0,0,1,Low,1,Low,0,0,1,0,0,0,1,0,0
54,Male,31,African-American,0,5,0,1,15,1,0,5,Medium,7,Medium,0,1,0,0,1,0,0,0,0
55,Male,24,African-American,0,4,0,0,2,1,0,4,Low,4,Low,1,1,0,0,1,0,0,0,0
56,Male,30,Hispanic,0,7,0,0,0,0,0,7,Medium,3,Low,0,1,0,0,0,0,1,0,0
57,Male,49,African-American,0,1,0,0,4,0,0,1,Low,1,Low,0,1,0,0,1,0,0,0,0
58,Male,53,Caucasian,0,5,0,0,8,0,0,5,Medium,2,Low,0,1,0,0,0,1,0,0,0
59,Male,35,African-American,0,3,0,0,5,0,0,3,Low,2,Low,0,1,0,0,1,0,0,0,0
60,Male,63,African-American,0,7,0,0,10,1,0,7,Medium,5,Medium,1,1,0,0,1,0,0,0,0
61,Male,27,African-American,1,10,1,2,15,1,0,10,High,9,High,1,1,0,0,1,0,0,0,0
62,Male,38,Caucasian,0,2,0,0,4,1,0,2,Low,2,Low,1,1,0,0,0,1,0,0,0
63,Male,22,African-American,0,4,0,1,1,1,0,4,Low,6,Medium,1,1,0,0,1,0,0,0,0
64,Male,22,African-American,0,10,1,2,2,1,0,10,High,9,High,1,1,0,0,1,0,0,0,0
65,Male,29,African-American,0,9,0,0,4,1,0,9,High,5,Medium,1,1,0,0,1,0,0,0,0
66,Male,62,Hispanic,0,1,0,0,0,0,0,1,Low,1,Low,0,1,0,0,0,0,1,0,0
67,Male,27,African-American,0,6,1,0,6,1,0,6,Medium,3,Low,1,1,0,0,1,0,0,0,0
68,Male,33,Other,0,1,0,0,0,0,0,1,Low,1,Low,0,1,0,1,0,0,0,0,0
69,Female,56,African-American,0,1,0,0,0,0,0,1,Low,1,Low,0,0,1,0,1,0,0,0,0
70,Male,45,Hispanic,0,1,0,0,6,1,1,1,Low,1,Low,1,1,0,0,0,0,1,0,0
71,Male,22,Hispanic,0,4,0,0,1,0,0,4,Low,6,Medium,0,1,0,0,0,0,1,0,0
72,Male,39,African-American,0,4,0,0,1,0,0,4,Low,2,Low,0,1,0,0,1,0,0,0,0
73,Male,29,African-American,0,6,0,0,5,1,0,6,Medium,3,Low,1,1,0,0,1,0,0,0,0
74,Male,27,Caucasian,0,6,0,1,1,1,0,6,Medium,3,Low,1,1,0,0,0,1,0,0,0
75,Male,40,African-American,0,2,0,0,2,0,0,2,Low,1,Low,0,1,0,0,1,0,0,0,0
76,Male,22,African-American,0,3,0,0,1,1,0,3,Low,3,Low,1,1,0,0,1,0,0,0,0
77,Male,22,Caucasian,0,8,0,0,0,0,0,8,High,6,Medium,0,1,0,0,0,1,0,0,0
78,Female,26,African-American,0,4,0,0,1,1,1,4,Low,3,Low,1,0,1,0,1,0,0,0,0
79,Male,27,Caucasian,0,7,0,0,1,1,1,7,Medium,8,High,1,1,0,0,0,1,0,0,0
80,Male,32,African-American,0,2,0,0,0,0,0,2,Low,1,Low,0,1,0,0,1,0,0,0,0
81,Male,41,African-American,0,2,0,0,1,0,0,2,Low,2,Low,0,1,0,0,1,0,0,0,0
82,Male,30,African-American,0,10,0,0,8,1,1,10,High,9,High,1,1,0,0,1,0,0,0,0
83,Male,50,Other,0,1,0,0,0,1,0,1,Low,2,Low,1,1,0,1,0,0,0,0,0
84,Male,25,African-American,1,10,6,1,14,1,1,10,High,10,High,1,1,0,0,1,0,0,0,0
85,Male,20,Other,0,5,0,0,0,1,1,5,Medium,8,High,1,1,0,1,0,0,0,0,0
86,Male,22,African-American,1,9,0,0,2,1,0,9,High,10,High,1,1,0,0,1,0,0,0,0
87,Male,23,African-American,0,7,0,1,2,1,0,7,Medium,8,High,1,1,0,0,1,0,0,0,0
88,Female,35,African-American,0,2,0,0,1,0,0,2,Low,1,Low,0,0,1,0,1,0,0,0,0
89,Male,36,African-American,0,7,0,0,9,1,0,7,Medium,6,Medium,1,1,0,0,1,0,0,0,0
90,Male,26,Caucasian,0,8,0,0,7,1,0,8,High,4,Low,1,1,0,0,0,1,0,0,0
91,Male,21,Other,0,6,0,0,1,1,0,6,Medium,6,Medium,1,1,0,1,0,0,0,0,0
92,Male,25,Caucasian,0,8,0,0,9,1,1,8,High,9,High,1,1,0,0,0,1,0,0,0
93,Male,71,African-American,0,7,0,0,12,0,0,7,Medium,3,Low,0,1,0,0,1,0,0,0,0
94,Female,20,Caucasian,0,7,0,0,0,0,0,7,Medium,8,High,0,0,1,0,0,1,0,0,0
95,Male,39,Caucasian,0,1,0,0,2,1,0,1,Low,1,Low,1,1,0,0,0,1,0,0,0
96,Male,66,Caucasian,0,1,0,0,3,0,0,1,Low,1,Low,0,1,0,0,0,1,0,0,0
97,Female,54,Caucasian,0,1,0,0,0,0,0,1,Low,1,Low,0,0,1,0,0,1,0,0,0
98,Female,44,Hispanic,0,1,0,0,0,0,0,1,Low,1,Low,0,0,1,0,0,0,1,0,0
99,Male,19,African-American,0,4,0,0,1,1,1,4,Low,7,Medium,1,1,0,0,1,0,0,0,0
100,Male,24,African-American,0,2,0,0,1,0,0,2,Low,3,Low,0,1,0,0,1,0,0,0,0
101,Male,30,African-American,0,2,0,0,1,0,0,2,Low,2,Low,0,1,0,0,1,0,0,0,0
102,Female,39,Caucasian,0,1,0,0,0,1,1,1,Low,1,Low,1,0,1,0,0,1,0,0,0
103,Male,24,Caucasian,0,6,1,2,8,1,0,6,Medium,6,Medium,1,1,0,0,0,1,0,0,0
104,Male,30,Caucasian,0,4,0,0,0,0,0,4,Low,2,Low,0,1,0,0,0,1,0,0,0
105,Male,31,Caucasian,0,5,0,0,0,0,0,5,Medium,2,Low,0,1,0,0,0,1,0,0,0
106,Female,39,Caucasian,0,4,0,0,1,0,0,4,Low,3,Low,0,0,1,0,0,1,0,0,0
107,Male,59,African-American,0,9,0,0,14,1,1,9,High,4,Low,1,1,0,0,1,0,0,0,0
108,Male,43,Caucasian,0,1,0,0,1,0,0,1,Low,1,Low,0,1,0,0,0,1,0,0,0
109,Male,21,African-American,0,9,0,0,3,1,0,9,High,6,Medium,1,1,0,0,1,0,0,0,0
110,Male,38,Caucasian,0,4,0,0,5,1,0,4,Low,3,Low,1,1,0,0,0,1,0,0,0
111,Male,34,Caucasian,0,5,0,0,0,0,0,5,Medium,5,Medium,0,1,0,0,0,1,0,0,0
112,Male,33,African-American,0,5,0,0,5,1,0,5,Medium,2,Low,1,1,0,0,1,0,0,0,0
113,Male,37,African-American,0,2,0,0,3,0,0,2,Low,1,Low,0,1,0,0,1,0,0,0,0
114,Male,42,Caucasian,0,2,0,0,1,1,0,2,Low,2,Low,1,1,0,0,0,1,0,0,0
115,Male,41,African-American,0,9,1,0,10,1,0,9,High,7,Medium,1,1,0,0,1,0,0,0,0
116,Male,22,African-American,0,4,0,0,0,1,0,4,Low,7,Medium,1,1,0,0,1,0,0,0,0
117,Male,33,African-American,0,8,12,2,28,1,0,8,High,5,Medium,1,1,0,0,1,0,0,0,0
118,Male,31,African-American,0,7,0,0,1,0,0,7,Medium,8,High,0,1,0,0,1,0,0,0,0
119,Female,30,Other,0,2,0,0,1,0,0,2,Low,2,Low,0,0,1,1,0,0,0,0,0
120,Male,31,Caucasian,0,10,0,0,13,1,1,10,High,7,Medium,1,1,0,0,0,1,0,0,0
121,Male,27,African-American,0,9,0,0,3,1,0,9,High,4,Low,1,1,0,0,1,0,0,0,0
122,Male,56,African-American,0,9,0,0,8,0,0,9,High,3,Low,0,1,0,0,1,0,0,0,0
123,Male,52,Caucasian,0,9,0,0,3,0,0,9,High,6,Medium,0,1,0,0,0,1,0,0,0
124,Male,33,African-American,0,10,0,0,19,1,0,10,High,7,Medium,1,1,0,0,1,0,0,0,0
125,Female,64,Caucasian,0,1,0,0,2,0,0,1,Low,1,Low,0,0,1,0,0,1,0,0,0
126,Male,22,Caucasian,0,6,0,0,4,1,0,6,Medium,8,High,1,1,0,0,0,1,0,0,0
127,Male,42,Caucasian,0,3,0,0,6,0,0,3,Low,1,Low,0,1,0,0,0,1,0,0,0
128,Female,25,Caucasian,0,4,0,0,2,0,0,4,Low,5,Medium,0,0,1,0,0,1,0,0,0
129,Male,30,Caucasian,0,2,0,0,1,0,0,2,Low,2,Low,0,1,0,0,0,1,0,0,0
130,Male,28,Caucasian,0,1,0,0,2,0,0,1,Low,2,Low,0,1,0,0,0,1,0,0,0
131,Female,37,Other,0,2,0,0,2,0,0,2,Low,1,Low,0,0,1,1,0,0,0,0,0
132,Male,28,Caucasian,0,2,0,0,0,1,0,2,Low,3,Low,1,1,0,0,0,1,0,0,0
133,Female,24,African-American,0,2,0,0,0,0,0,2,Low,3,Low,0,0,1,0,1,0,0,0,0
134,Female,29,Caucasian,0,4,1,0,10,1,0,4,Low,2,Low,1,0,1,0,0,1,0,0,0
135,Male,44,Caucasian,0,2,0,0,2,1,0,2,Low,1,Low,1,1,0,0,0,1,0,0,0
136,Female,30,Hispanic,0,5,0,0,4,1,1,5,Medium,5,Medium,1,0,1,0,0,0,1,0,0
137,Male,32,African-American,0,7,0,0,3,1,0,7,Medium,3,Low,1,1,0,0,1,0,0,0,0
138,Male,31,Caucasian,0,3,0,0,2,1,0,3,Low,3,Low,1,1,0,0,0,1,0,0,0
139,Male,31,African-American,0,2,0,0,1,1,0,2,Low,3,Low,0,1,0,0,1,0,0,0,0
140,Male,59,Caucasian,0,2,0,0,1,1,0,2,Low,1,Low,1,1,0,0,0,1,0,0,0
141,Female,45,Caucasian,0,4,0,0,4,0,0,4,Low,3,Low,0,0,1,0,0,1,0,0,0
142,Female,20,African-American,1,10,0,0,1,0,0,10,High,10,High,0,0,1,0,1,0,0,0,0
143,Female,43,Caucasian,0,1,0,0,0,0,0,1,Low,1,Low,0,0,1,0,0,1,0,0,0
144,Male,38,African-American,1,8,1,0,9,1,0,8,High,4,Low,1,1,0,0,1,0,0,0,0
145,Male,32,African-American,0,6,0,0,11,1,1,6,Medium,5,Medium,1,1,0,0,1,0,0,0,0
146,Male,33,African-American,0,5,0,0,8,1,1,5,Medium,2,Low,1,1,0,0,1,0,0,0,0
147,Female,31,African-American,0,3,0,0,0,1,0,3,Low,2,Low,1,0,1,0,1,0,0,0,0
148,Female,33,African-American,0,9,0,0,7,1,0,9,High,9,High,1,0,1,0,1,0,0,0,0
149,Male,27,African-American,0,9,0,0,2,1,0,9,High,8,High,1,1,0,0,1,0,0,0,0
150,Female,20,African-American,0,6,0,0,0,0,0,6,Medium,8,High,0,0,1,0,1,0,0,0,0
151,Female,26,Caucasian,0,6,0,0,0,0,0,6,Medium,3,Low,0,0,1,0,0,1,0,0,0
152,Female,61,African-American,0,1,0,0,1,1,0,1,Low,1,Low,1,0,1,0,1,0,0,0,0
153,Male,52,Other,0,7,0,0,13,1,0,7,Medium,6,Medium,1,1,0,1,0,0,0,0,0
154,Male,63,Hispanic,0,1,0,0,1,0,0,1,Low,1,Low,0,1,0,0,0,0,1,0,0
155,Female,32,African-American,0,10,0,0,4,1,1,10,High,9,High,1,0,1,0,1,0,0,0,0
156,Male,29,Hispanic,0,4,0,0,1,0,0,4,Low,4,Low,0,1,0,0,0,0,1,0,0
157,Female,46,Other,0,2,0,0,1,0,0,2,Low,1,Low,0,0,1,1,0,0,0,0,0
158,Female,26,African-American,0,4,0,0,2,1,0,4,Low,4,Low,1,0,1,0,1,0,0,0,0
159,Male,55,African-American,0,1,0,0,3,0,0,1,Low,1,Low,0,1,0,0,1,0,0,0,0
160,Male,39,Caucasian,1,4,0,0,1,0,0,4,Low,4,Low,0,1,0,0,0,1,0,0,0
161,Female,30,Caucasian,0,7,0,0,3,1,0,7,Medium,4,Low,1,0,1,0,0,1,0,0,0
162,Male,30,African-American,0,7,0,0,1,0,0,7,Medium,8,High,0,1,0,0,1,0,0,0,0
163,Male,48,Caucasian,0,2,0,0,2,0,0,2,Low,1,Low,0,1,0,0,0,1,0,0,0
164,Male,22,African-American,0,2,0,0,1,0,0,2,Low,4,Low,0,1,0,0,1,0,0,0,0
165,Male,46,Caucasian,0,1,0,0,6,1,0,1,Low,1,Low,1,1,0,0,0,1,0,0,0
166,Female,49,Caucasian,0,6,0,0,6,0,0,6,Medium,2,Low,0,0,1,0,0,1,0,0,0
167,Male,31,Caucasian,0,5,0,0,0,0,0,5,Medium,4,Low,0,1,0,0,0,1,0,0,0
168,Male,25,African-American,0,2,0,0,1,1,0,2,Low,3,Low,1,1,0,0,1,0,0,0,0
169,Male,23,Hispanic,0,3,0,0,0,0,0,3,Low,5,Medium,0,1,0,0,0,0,1,0,0
170,Female,32,African-American,0,7,0,0,5,0,0,7,Medium,3,Low,0,0,1,0,1,0,0,0,0
171,Male,52,Hispanic,0,1,0,0,2,0,0,1,Low,1,Low,0,1,0,0,0,0,1,0,0
172,Male,62,African-American,0,4,0,0,8,0,0,4,Low,1,Low,0,1,0,0,1,0,0,0,0
173,Female,37,Caucasian,0,10,0,0,6,0,0,10,High,4,Low,0,0,1,0,0,1,0,0,0
174,Male,55,Caucasian,0,1,0,0,1,0,0,1,Low,1,Low,0,1,0,0,0,1,0,0,0
175,Male,31,Hispanic,0,9,0,0,8,1,0,9,High,7,Medium,1,1,0,0,0,0,1,0,0
176,Male,28,African-American,0,6,0,0,6,1,1,6,Medium,6,Medium,1,1,0,0,1,0,0,0,0
177,Male,54,Hispanic,0,1,0,0,2,0,0,1,Low,1,Low,0,1,0,0,0,0,1,0,0
178,Male,58,Hispanic,0,2,0,0,0,0,0,2,Low,1,Low,0,1,0,0,0,0,1,0,0
179,Male,78,Caucasian,0,1,0,0,1,1,0,1,Low,1,Low,1,1,0,0,0,1,0,0,0
180,Male,56,Caucasian,0,1,0,0,0,0,0,1,Low,1,Low,0,1,0,0,0,1,0,0,0
181,Male,24,Other,0,2,0,0,0,0,0,2,Low,4,Low,0,1,0,1,0,0,0,0,0
182,Male,38,African-American,2,8,2,1,22,1,0,8,High,5,Medium,1,1,0,0,1,0,0,0,0
183,Male,22,African-American,0,5,0,0,1,1,0,5,Medium,5,Medium,1,1,0,0,1,0,0,0,0
184,Male,47,African-American,0,8,0,0,23,1,0,8,High,1,Low,1,1,0,0,1,0,0,0,0
185,Male,23,African-American,0,2,0,0,0,1,0,2,Low,4,Low,1,1,0,0,1,0,0,0,0
186,Male,57,Hispanic,0,1,0,0,1,0,0,1,Low,1,Low,0,1,0,0,0,0,1,0,0
187,Female,38,Caucasian,0,5,0,0,2,1,0,5,Medium,2,Low,1,0,1,0,0,1,0,0,0
188,Male,66,African-American,0,1,0,0,3,1,1,1,Low,1,Low,0,1,0,0,1,0,0,0,0
189,Male,45,Caucasian,0,4,0,0,8,1,0,4,Low,3,Low,1,1,0,0,0,1,0,0,0
190,Female,52,Other,0,3,0,0,0,1,0,3,Low,1,Low,1,0,1,1,0,0,0,0,0
191,Male,32,African-American,0,10,0,0,13,1,0,10,High,7,Medium,1,1,0,0,1,0,0,0,0
192,Male,37,African-American,0,9,0,0,2,1,1,9,High,8,High,1,1,0,0,1,0,0,0,0
193,Male,39,Caucasian,0,4,0,0,0,1,0,4,Low,4,Low,1,1,0,0,0,1,0,0,0
194,Male,26,African-American,0,9,0,0,9,1,0,9,High,8,High,1,1,0,0,1,0,0,0,0
195,Male,45,Caucasian,0,3,0,0,2,0,0,3,Low,4,Low,0,1,0,0,0,1,0,0,0
196,Male,23,African-American,0,3,0,0,0,1,1,3,Low,4,Low,1,1,0,0,1,0,0,0,0
197,Male,34,African-American,0,2,0,0,2,1,0,2,Low,1,Low,0,1,0,0,1,0,0,0,0
198,Female,23,African-American,0,4,0,0,1,0,0,4,Low,4,Low,0,0,1,0,1,0,0,0,0
199,Male,36,Other,0,3,0,0,2,1,0,3,Low,1,Low,1,1,0,1,0,0,0,0,0
200,Male,50,Caucasian,0,1,0,0,1,0,0,1,Low,1,Low,0,1,0,0,0,1,0,0,0
201,Female,37,Caucasian,0,3,0,0,0,0,0,3,Low,1,Low,0,0,1,0,0,1,0,0,0
202,Male,44,Caucasian,0,4,0,0,4,0,0,4,Low,4,Low,0,1,0,0,0,1,0,0,0
203,Female,35,African-American,0,9,1,0,23,1,0,9,High,9,High,1,0,1,0,1,0,0,0,0
204,Male,24,Other,0,5,0,0,5,1,0,5,Medium,4,Low,1,1,0,1,0,0,0,0,0
205,Male,26,African-American,0,10,0,0,2,1,0,10,High,8,High,1,1,0,0,1,0,0,0,0
206,Male,27,African-American,0,2,0,0,0,0,0,2,Low,3,Low,0,1,0,0,1,0,0,0,0
207,Female,28,African-American,0,8,0,0,0,0,0,8,High,6,Medium,0,0,1,0,1,0,0,0,0
208,Male,43,Caucasian,0,5,0,0,11,1,1,5,Medium,3,Low,1,1,0,0,0,1,0,0,0
209,Female,28,Caucasian,0,9,0,0,7,1,0,9,High,6,Medium,1,0,1,0,0,1,0,0,0
210,Male,38,African-American,0,1,0,0,2,0,0,1,Low,1,Low,0,1,0,0,1,0,0,0,0
211,Male,27,Caucasian,0,4,0,0,2,0,0,4,Low,3,Low,0,1,0,0,0,1,0,0,0
212,Female,28,African-American,0,9,0,0,1,0,0,9,High,7,Medium,0,0,1,0,1,0,0,0,0
213,Male,56,Caucasian,0,1,0,0,7,1,0,1,Low,1,Low,1,1,0,0,0,1,0,0,0
214,Male,38,African-American,0,9,0,0,15,0,0,9,High,3,Low,0,1,0,0,1,0,0,0,0
215,Male,28,African-American,0,5,0,0,2,0,0,5,Medium,4,Low,0,1,0,0,1,0,0,0,0
216,Male,45,African-American,0,6,0,0,3,0,0,6,Medium,4,Low,0,1,0,0,1,0,0,0,0
217,Male,28,Hispanic,0,2,0,0,0,0,0,2,Low,3,Low,0,1,0,0,0,0,1,0,0
218,Male,61,Caucasian,0,1,0,0,1,0,0,1,Low,1,Low,0,1,0,0,0,1,0,0,0
219,Female,51,Caucasian,0,1,0,0,0,1,1,1,Low,1,Low,1,0,1,0,0,1,0,0,0
220,Male,51,Caucasian,0,2,0,0,0,0,0,2,Low,2,Low,0,1,0,0,0,1,0,0,0
221,Male,36,Other,0,1,0,0,1,1,0,1,Low,1,Low,1,1,0,1,0,0,0,0,0
222,Male,48,African-American,0,1,0,0,0,0,0,1,Low,1,Low,0,1,0,0,1,0,0,0,0
223,Male,37,Caucasian,0,3,0,0,4,1,0,3,Low,4,Low,1,1,0,0,0,1,0,0,0
224,Female,30,African-American,0,7,0,0,2,0,0,7,Medium,4,Low,0,0,1,0,1,0,0,0,0
225,Female,41,African-American,0,6,0,0,5,0,0,6,Medium,3,Low,0,0,1,0,1,0,0,0,0
226,Male,27,African-American,0,10,0,0,11,1,0,10,High,9,High,1,1,0,0,1,0,0,0,0
227,Male,37,African-American,0,1,0,0,0,1,1,1,Low,1,Low,0,1,0,0,1,0,0,0,0
228,Male,33,Other,0,4,0,0,4,1,0,4,Low,2,Low,1,1,0,1,0,0,0,0,0
229,Male,54,African-American,0,9,0,0,11,0,0,9,High,9,High,0,1,0,0,1,0,0,0,0
230,Male,23,African-American,0,9,0,0,2,0,0,9,High,5,Medium,0,1,0,0,1,0,0,0,0
231,Female,26,African-American,0,4,0,0,2,1,0,4,Low,6,Medium,1,0,1,0,1,0,0,0,0
232,Male,41,African-American,0,1,0,0,0,0,0,1,Low,1,Low,0,1,0,0,1,0,0,0,0
233,Male,52,Caucasian,0,1,0,0,0,0,0,1,Low,1,Low,0,1,0,0,0,1,0,0,0
234,Male,43,Caucasian,0,4,0,0,13,1,0,4,Low,1,Low,1,1,0,0,0,1,0,0,0
235,Male,52,African-American,0,4,0,0,0,0,0,4,Low,3,Low,0,1,0,0,1,0,0,0,0
236,Male,28,Caucasian,0,1,0,0,1,0,0,1,Low,2,Low,0,1,0,0,0,1,0,0,0
237,Male,30,African-American,0,9,0,2,11,1,1,9,High,4,Low,1,1,0,0,1,0,0,0,0
238,Male,28,Caucasian,0,5,0,0,1,0,0,5,Medium,3,Low,0,1,0,0,0,1,0,0,0
239,Male,22,African-American,0,4,0,0,0,0,0,4,Low,6,Medium,0,1,0,0,1,0,0,0,0
240,Male,30,African-American,0,2,0,0,4,0,0,2,Low,2,Low,0,1,0,0,1,0,0,0,0
241,Male,25,Hispanic,0,4,0,0,4,0,0,4,Low,4,Low,0,1,0,0,0,0,1,0,0
242,Male,31,Caucasian,0,8,0,0,0,1,0,8,High,5,Medium,1,1,0,0,0,1,0,0,0
243,Male,37,Caucasian,0,2,0,0,0,1,0,2,Low,1,Low,1,1,0,0,0,1,0,0,0
244,Male,32,African-American,0,9,1,0,14,0,0,9,High,8,High,0,1,0,0,1,0,0,0,0
245,Male,26,African-American,0,8,1,0,4,0,0,8,High,6,Medium,0,1,0,0,1,0,0,0,0
246,Male,53,Caucasian,0,1,0,0,1,0,0,1,Low,1,Low,0,1,0,0,0,1,0,0,0
247,Male,28,African-American,0,8,0,0,25,1,0,8,High,9,High,1,1,0,0,1,0,0,0,0
248,Male,44,Caucasian,0,5,0,0,8,1,0,5,Medium,3,Low,1,1,0,0,0,1,0,0,0
249,Male,25,African-American,0,3,0,0,0,0,0,3,Low,4,Low,0,1,0,0,1,0,0,0,0
250,Male,22,Caucasian,0,8,0,1,1,1,0,8,High,7,Medium,1,1,0,0,0,1,0,0,0
251,Female,37,Other,0,1,0,0,0,0,0,1,Low,1,Low,0,0,1,1,0,0,0,0,0
252,Female,40,Other,0,2,0,0,3,0,0,2,Low,1,Low,0,0,1,1,0,0,0,0,0
253,Male,36,Caucasian,0,7,0,0,8,1,1,7,Medium,9,High,1,1,0,0,0,1,0,0,0
254,Male,30,Caucasian,0,2,0,0,4,0,0,2,Low,2,Low,0,1,0,0,0,1,0,0,0
